op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,18716.058,8362.322,27.562,1029.000,0.063,1030.000,1290.000,1030.000
bn1,4573.146,7461.730,1029.000,1029.000,0.003,1030.004,0.000,2060.000
relu1,2632.110,3935.400,1029.000,1029.000,0.000,1030.000,0.000,2060.000
maxpool,2426.136,10570.172,1029.000,257.250,0.000,772.500,1.500,1288.000
block-0-0-conv1,5521.332,9901.346,257.250,514.500,0.191,258.000,330.000,1032.000
block-0-0-bn1,1253.279,1851.617,514.500,514.500,0.003,258.004,0.000,516.000
block-0-0-conv2,19294.112,21701.384,514.500,771.750,3.445,514.500,521.500,1656.000
block-0-0-bn2,2355.154,3918.240,771.750,771.750,0.007,514.507,1.493,1032.000
block-0-0-conv3,25374.302,48606.220,771.750,1286.250,1.531,1030.000,1032.000,2064.000
block-0-0-bn3,4349.918,7246.643,1286.250,1286.250,0.014,1030.014,0.000,2060.000
block-0-0-downsample,29498.763,32075.289,1286.250,1029.000,0.766,2060.014,2319.986,1030.000
block-0-0-relu,2747.285,3935.025,1029.000,1029.000,0.000,1030.000,0.000,2060.000
block-0-1-conv1,9116.118,46099.722,1029.000,1286.250,0.766,258.000,330.000,3348.000
block-0-1-bn1,1253.279,1851.617,1286.250,1286.250,0.003,258.004,0.000,516.000
block-0-1-conv2,19294.112,21701.384,1286.250,1543.500,3.445,514.500,521.500,1656.000
block-0-1-bn2,2355.154,3918.240,1543.500,1543.500,0.007,514.507,1.493,1032.000
block-0-1-conv3,25374.302,48606.220,1543.500,2058.000,1.531,1030.000,1032.000,2064.000
block-0-1-bn3,4349.918,7246.643,2058.000,2058.000,0.014,1030.014,0.000,2060.000
block-0-1-downsample,3958.805,47.661,2058.000,1029.000,0.000,1030.000,0.000,1030.000
block-0-1-relu,2747.285,3935.025,1029.000,1029.000,0.000,1030.000,0.000,2060.000
